Test Name,Slot 1,Slot 2,Slot 3
CBC with Differential,12:45,15:45,10:45
Chest X-Ray,13:00,10:00,13:15
EEG,13:00,12:15,16:45
Electrolyte Panel,10:45,09:00,14:30
MRI Brain with Contrast,17:30,13:00,12:45
Nasal Endoscopy,16:30,16:45,17:00
None (clinical diagnosis),11:30,16:00,16:15
Peak Expiratory Flow Measurement,16:45,17:30,14:15
RT-PCR for Influenza,14:45,16:00,09:15
Rapid Influenza Diagnostic Test,17:30,12:30,12:15
Skin Prick Test,16:45,10:15,14:00
Spirometry with Bronchodilator,15:45,12:00,10:00
Sputum Culture and Sensitivity,17:45,11:15,12:15
Stool Culture,12:15,13:30,11:45
Stool ELISA for Toxins,11:00,11:30,12:30
Total IgE Level,14:30,14:15,15:45
Ultrasound Kidney Bladder,10:30,17:00,12:45
Urinalysis,08:00,09:45,14:00
Urine Culture and Sensitivity,13:15,16:30,12:30
